0-21	0
22-43	0
44-65	0
66-87	0
88-109	0
110-131	0
132-153	160000
154-175	0
176-197	0
198-219	0
220-241	0
242-263	0
264-285	40000
286-307	20000
308-329	20000
330-351	0
352-373	0
374-395	0
396-417	0
418-439	0
440-461	0
462-483	0
484-505	0
506-527	20000
528-549	25000
550-571	15000
572-593	20000
594-615	0
616-637	0
638-659	0
660-681	0
682-703	0
704-725	0
726-747	0
748-769	0
770-791	17500
792-813	27500
814-835	15000
836-857	20000
858-879	0
880-901	0
902-923	0
924-945	0
946-967	0
968-989	0
990-1011	0
1012-1033	0
1034-1055	10000
1056-1077	35000
1078-1099	15000
1100-1121	20000
1122-1143	0
1144-1165	0
1166-1187	0
1188-1209	0
1210-1231	0
1232-1253	0
1254-1275	0
1276-1297	0
1298-1319	0
1320-1341	30000
1342-1363	10000
1364-1385	0
1386-1407	0
1408-1429	0
1430-1451	0
1452-1473	0
1474-1495	0
1496-1517	0
1518-1539	0
1540-1561	0
1562-1583	0
1584-1605	0
1606-1627	40000
1628-1649	0
1650-1671	0
1672-1693	0
1694-1715	0
1716-1737	0
1738-1759	0
1760-1781	0
1782-1803	0
1804-1825	0
1826-1847	0
1848-1869	0
1870-1891	35000
1892-1913	5000
1914-1935	0
1936-1957	0
1958-1979	0
1980-2001	0
2002-2023	0
2024-2045	0
2046-2067	0
2068-2089	0
2090-2111	0
2112-2133	0
2134-2155	25001
2156-2177	5001
2178-2199	9998
